15 14 normal
13 9 White
14 6 Black
13 7 White
12 8 Black
11 8 White
11 7 Black
10 8 White
11 9 Black
9 5 White
10 1 Black
9 1 White
7 3 Black
7 4 White
5 6 Black
5 12 White
12 13 Black
11 12 White
11 10 Black
10 11 White
9 13 Black
8 12 White
6 12 Black
9 10 White
7 12 Black
7 11 White
8 2 Black
7 2 White
4 11 Black
3 10 White
1 10 Black
2 9 White
0 6 Black
1 6 White
3 4 Black
2 4 White
8 10 Black
8 9 White
2 6 Black
7 8 White
3 8 Black
3 7 White
4 6 Black
6 9 White
4 2 Black
4 4 White
6 3 Black
5 3 White
8 4 Black
4 3 White
5 4 Black
4 5 White
2 5 Black
3 6 White
3 9 Black
4 8 White
9 7 Black
8 7 White
7 6 Black
7 5 White
4 7 Black
5 7 White
6 5 Black
6 7 White
9 9 Black
8 8 White
5 5 Black
6 6 White
8 11 Black
7 7 White
5 8 Black
