10 5 normal
4 1 White
8 0 Black
9 0 White
6 1 Black
7 1 White
8 1 Black
8 8 White
9 1 Black
9 3 White
9 2 Black
7 2 White
9 4 Black
8 2 White
8 3 Black
7 9 White
9 9 Black
9 8 White
7 6 Black
9 7 White
7 7 Black
9 6 White
8 7 Black
8 6 White
8 5 Black
9 5 White
8 4 Black
7 5 White
6 6 Black
5 9 White
6 9 Black
2 5 White
3 6 Black
3 8 White
5 8 Black
3 9 White
7 8 Black
6 7 White
5 7 Black
5 6 White
4 4 Black
5 4 White
6 5 Black
6 3 White
5 1 Black
6 2 White
7 3 Black
6 4 White
2 8 Black
3 7 White
4 9 Black
4 6 White
4 8 Black
5 5 White
4 7 Black
